Category,Program,Condition Code,Condition Name,Profiles,Profile Has Special Case,MMGs,Special Case Group,Special Case MMGs
Zoonotic,NCEZID,10020,Brucellosis,,,,,
Arboviral Diseases,NCEZID,10049,West Nile virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10051,St. Louis encephalitis virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10052,Western equine encephalitis virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10053,Eastern equine encephalitis virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10054,California serogroup virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10055,Venezuelan equine encephalitis neuroinvasive ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10056,West Nile virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10057,Powassan virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10058,Cache Valley virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10059,Japanese encephalitis virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10061,California serogroup virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10062,Eastern equine encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10063,Powassan virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10064,St. Louis encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10065,Western equine encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10066,Cache Valley virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10067,Venezuelan equine encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10068,Japanese encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10072,Other Arboviral,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10073,Chikungunya virus ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10074,Tick-borne Encephalitis viruses ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10078,"Jamestown CNoon virus, neuroinvasive disease ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10079,"Jamestown CNoon virus, non-neuroinvasive disease ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
