Category,Program,Condition Code,Condition Name,Profiles,Profile Has Special Case,MMGs,Special Case Group,Special Case MMGs
Arboviral Diseases,NCEZID,10049,West Nile virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10051,St. Louis encephalitis virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10052,Western equine encephalitis virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10053,Eastern equine encephalitis virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10054,California serogroup virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10055,Venezuelan equine encephalitis neuroinvasive ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10056,West Nile virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10057,Powassan virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10058,Cache Valley virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10059,Japanese encephalitis virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10061,California serogroup virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
